annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist,stat_unreviewed_annotations,stat_hot,stat_pageviews,primary_artist_api_path,primary_artist_header_image_url,primary_artist_id,primary_artist_image_url,primary_artist_is_meme_verified,primary_artist_is_verified,primary_artist_name,primary_artist_url
5,/songs/2474875,Andy Shauf,The Magician by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2474875,54639,complete,/Andy-shauf-the-magician-lyrics,4.0,https://genius.com/Andy-shauf-the-magician-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 4, 'hot': False, 'pageviews': 56918}",The Magician,The Magician,https://genius.com/Andy-shauf-the-magician-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",4,False,56918,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
9,/songs/2824015,Andy Shauf,Quite Like You by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2824015,1501875,complete,/Andy-shauf-quite-like-you-lyrics,2.0,https://genius.com/Andy-shauf-quite-like-you-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 9, 'hot': False, 'pageviews': 39260}",Quite Like You,Quite Like You,https://genius.com/Andy-shauf-quite-like-you-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",9,False,39260,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
11,/songs/2857381,Andy Shauf,To You by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2857381,3587490,complete,/Andy-shauf-to-you-lyrics,,https://genius.com/Andy-shauf-to-you-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 11, 'hot': False, 'pageviews': 32098}",To You,To You,https://genius.com/Andy-shauf-to-you-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",11,False,32098,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
5,/songs/2818729,Andy Shauf,Early to the Party by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2818729,3376134,complete,/Andy-shauf-early-to-the-party-lyrics,1.0,https://genius.com/Andy-shauf-early-to-the-party-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 5, 'hot': False, 'pageviews': 25200}",Early to the Party,Early to the Party,https://genius.com/Andy-shauf-early-to-the-party-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",5,False,25200,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
7,/songs/2885794,Andy Shauf,Martha Sways by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2885794,1684296,complete,/Andy-shauf-martha-sways-lyrics,,https://genius.com/Andy-shauf-martha-sways-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 7, 'hot': False, 'pageviews': 19898}",Martha Sways,Martha Sways,https://genius.com/Andy-shauf-martha-sways-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",7,False,19898,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
7,/songs/2866004,Andy Shauf,The Worst in You by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2866004,2450248,complete,/Andy-shauf-the-worst-in-you-lyrics,3.0,https://genius.com/Andy-shauf-the-worst-in-you-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 7, 'hot': False, 'pageviews': 15750}",The Worst in You,The Worst in You,https://genius.com/Andy-shauf-the-worst-in-you-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",7,False,15750,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
8,/songs/2885799,Andy Shauf,Twist Your Ankle by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2885799,1684296,complete,/Andy-shauf-twist-your-ankle-lyrics,,https://genius.com/Andy-shauf-twist-your-ankle-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 8, 'hot': False, 'pageviews': 15964}",Twist Your Ankle,Twist Your Ankle,https://genius.com/Andy-shauf-twist-your-ankle-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",8,False,15964,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
10,/songs/2885745,Andy Shauf,Begin Again by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2885745,1684296,complete,/Andy-shauf-begin-again-lyrics,,https://genius.com/Andy-shauf-begin-again-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 10, 'hot': False, 'pageviews': 16266}",Begin Again,Begin Again,https://genius.com/Andy-shauf-begin-again-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",10,False,16266,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
4,/songs/2885761,Andy Shauf,Eyes of Them All by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2885761,1684296,complete,/Andy-shauf-eyes-of-them-all-lyrics,,https://genius.com/Andy-shauf-eyes-of-them-all-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 4, 'hot': False, 'pageviews': 11742}",Eyes of Them All,Eyes of Them All,https://genius.com/Andy-shauf-eyes-of-them-all-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",4,False,11742,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
3,/songs/2885785,Andy Shauf,Alexander All Alone by Andy Shauf,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,2885785,1684296,complete,/Andy-shauf-alexander-all-alone-lyrics,,https://genius.com/Andy-shauf-alexander-all-alone-sample,"{'year': 2016, 'month': 5, 'day': 20}","May 20, 2016","May. 20, 2016",https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.300x300x1.jpg,https://images.genius.com/0d031f033e938b07532758a7e2d6e29f.1000x1000x1.jpg,"{'unreviewed_annotations': 3, 'hot': False, 'pageviews': 11739}",Alexander All Alone,Alexander All Alone,https://genius.com/Andy-shauf-alexander-all-alone-lyrics,[],"{'api_path': '/artists/380491', 'header_image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'id': 380491, 'image_url': 'https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andy Shauf', 'url': 'https://genius.com/artists/Andy-shauf'}",3,False,11739,/artists/380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,380491,https://images.genius.com/a5f58893498df48fadc615a81e355255.1000x1000x1.jpg,False,False,Andy Shauf,https://genius.com/artists/Andy-shauf
